FECDETALLE,CODIGO_SAP,TALLA,COLORES,MODELO,TIPO,PROM_FLG_DEPARTAMENTO_1_4_U3M_M2,TOT_PRECIO_CDESC_M0,TOT_PRECIO_M0,PROM_FLG_SUBCANAL_1_1_U3M_M1,PROM_FLG_DEPARTAMENTO_1_4_U3M_M1,PROM_FLG_SUBCANAL_1_1_U3M_M2,CLASS
201609,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1174.3,2244.08992,2261.96692,885,1315.9,785,4188
201610,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1315.9,2425.58764,2437.44664,1172,1534.6,885,5136
201611,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1534.6,2421.43058,2438.65858,734,1199.666667,1172,4359
201612,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1199.666667,1959.5123,1976.3863,855,1486.8,734,6249
201701,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1486.8,374.5188,374.5188,660,1711,855,448
201702,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1711,683.3374,693.9574,872,2145.633333,660,2793
201703,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2145.633333,353.9352,355.1742,857,2143.6,872,389
201704,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2143.6,653.99448,655.88248,1050,2680.5,857,832
201705,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2680.5,1981.86334,1993.42734,796,2249.8,1050,2515
201706,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2249.8,2509.258,2529.141,695,2120.27,796,4095
201707,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,2120.27,2437.43688,2453.18988,357,1146.77,695,5203
201708,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1146.77,2268.9086,2282.8326,416,1441.77,357,4042
201709,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1441.77,2134.179,2151.761,481,1410.1,416,5684
201710,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1410.1,2132.32906,2147.96406,644,1681.5,481,6853
201711,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1681.5,1940.8839,1954.5129,772,1480.9,644,5489
201712,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1480.9,1627.1984,1643.0694,860,1606.766667,772,8808
201801,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1606.766667,580.4478,587.6222,867,1714.933333,860,2442
201802,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1714.933333,597.3302,603.1122,920,1968.633333,867,2637
201803,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1968.633333,717.9224,723.7044,952,1910.027913,920,5123
201804,10CLPY-1900LL0-SC005,L,NEGRO,PTY,SPT,1910.027913,991.7059,992.1779,1007,1904.127913,952,1426
